date,ticker,action,setup,score,entry,stop,t1,t2,t3,reason,close,atr14,chart
2026-09-07,0184.HK,BUY,A,70,2.430000066757202,2.3121573324379336,2.503920971090512,2.584295143515541,2.664669315940569,Reversal near channel support,2.430000066757202,0.031015293802520497,outputs/charts/0184.HK_2026-09-07.png
2026-09-07,0823.HK,BUY,A,70,38.79999923706055,38.044731145320256,41.38465364603099,42.74148436522937,44.09831508442775,Reversal near channel support,38.79999923706055,0.6262610623139756,outputs/charts/0823.HK_2026-09-07.png
2026-09-07,0869.HK,SELL,B,60,0.4699999988079071,0.47444543519937415,0.4313324248781504,0.41340763347847165,0.395482842078793,Reversal near channel resistance,0.4699999988079071,0.007263427521866354,outputs/charts/0869.HK_2026-09-07.png
2026-09-07,2235.HK,SELL,D,60,6.699999809265137,7.130265997032624,6.062510887874012,5.4250219664828885,4.787533045091765,Breakdown below channel lower,6.699999809265137,0.2847657647623407,outputs/charts/2235.HK_2026-09-07.png
2026-09-07,0029.HK,BUY,A,55,9.3100004196167,9.022820805644724,9.993356348205094,10.365396901101683,10.73743745399827,Reversal near channel support,9.3100004196167,0.22645443676719257,outputs/charts/0029.HK_2026-09-07.png
2026-09-07,0128.HK,BUY,C,55,0.5049999952316284,0.2846428709370749,0.5049999952316284,0.5049999952316284,0.5049999952316284,Breakout above channel upper,0.5049999952316284,0.01535714098385402,outputs/charts/0128.HK_2026-09-07.png
2026-09-07,0259.HK,SELL,D,55,2.9800000190734863,3.2712280793482793,1.7530374215678661,0.5260748240622459,-0.700887773443374,Breakdown below channel lower,2.9800000190734863,0.1398260043817486,outputs/charts/0259.HK_2026-09-07.png
2026-09-07,0289.HK,SELL,D,55,13.09000015258789,13.442990853547128,12.092292642882942,11.094585133177992,10.096877623473041,Breakdown below channel lower,13.09000015258789,0.15253933693824914,outputs/charts/0289.HK_2026-09-07.png
2026-09-07,0556.HK,SELL,D,55,0.4300000071525574,0.4819543667029529,0.24608111671988597,0.06216222628721457,-0.12175666414545683,Breakdown below channel lower,0.4300000071525574,0.034930080788451834,outputs/charts/0556.HK_2026-09-07.png
2026-09-07,0580.HK,SELL,D,55,1.2649999856948853,1.532550603362083,0.498180814908455,-0.26863835587797524,-1.0354575266644055,Breakdown below channel lower,1.2649999856948853,0.08408933241056459,outputs/charts/0580.HK_2026-09-07.png
2026-09-07,0677.HK,BUY,C,55,0.41499999165534973,0.3423253325420516,0.4244154623262263,0.4338309329971029,0.4432464036679795,Breakout above channel upper,0.41499999165534973,0.011776875719181231,outputs/charts/0677.HK_2026-09-07.png
2026-09-07,0878.HK,SELL,D,55,6.150000095367432,6.462779486575451,5.654022311172637,5.158044526977842,4.662066742783047,Breakdown below channel lower,6.150000095367432,0.05507562272865748,outputs/charts/0878.HK_2026-09-07.png
2026-09-07,1112.HK,BUY,C,55,19.040000915527344,16.40896737151967,21.22184117011932,23.403681424711294,25.58552167930327,Breakout above channel upper,19.040000915527344,0.8736968536134134,outputs/charts/1112.HK_2026-09-07.png
2026-09-07,1260.HK,SELL,D,55,0.39500001072883606,0.4162078395220516,0.3254978134720071,0.2559956162151782,0.18649341895834926,Breakdown below channel lower,0.39500001072883606,0.012531984628704383,outputs/charts/1260.HK_2026-09-07.png
2026-09-07,1763.HK,SELL,D,55,14.579999923706055,16.33225497137179,12.622162100306781,10.664324276907507,8.706486453508234,Breakdown below channel lower,14.579999923706055,0.7680552425054118,outputs/charts/1763.HK_2026-09-07.png
2026-09-07,1905.HK,BUY,C,55,1.0399999618530273,0.7758946410375629,1.0948418207278103,1.1496836796025933,1.204525538477376,Breakout above channel upper,1.0399999618530273,0.04993527082064858,outputs/charts/1905.HK_2026-09-07.png
2026-09-07,2199.HK,BUY,C,55,2.569999933242798,1.9104565686085628,2.8315353472168336,3.093070761190869,3.3546061751649043,Breakout above channel upper,2.569999933242798,0.15547580328088106,outputs/charts/2199.HK_2026-09-07.png
2026-09-07,2355.HK,SELL,D,55,2.9149999618530273,3.0540170763962124,2.642048097420769,2.3690962329885115,2.0961443685562537,Breakdown below channel lower,2.9149999618530273,0.06518433383515825,outputs/charts/2355.HK_2026-09-07.png
2026-09-07,3700.HK,SELL,D,55,0.8550000190734863,0.9158152789541966,0.4635933431223347,0.07218666717118305,-0.3192200087799686,Breakdown below channel lower,0.8550000190734863,0.04863173423590693,outputs/charts/3700.HK_2026-09-07.png
2026-09-07,0088.HK,SELL,D,45,3.2699999809265137,3.383711183745155,2.978945677522203,2.6878913741178927,2.396837070713582,Breakdown below channel lower,3.2699999809265137,0.054762394623099064,outputs/charts/0088.HK_2026-09-07.png
2026-09-07,0212.HK,BUY,A,45,28.600000381469727,27.700546602948428,28.98896437314277,29.56114880071371,30.133333228284652,Reversal near channel support,28.600000381469727,0.14404891505245868,outputs/charts/0212.HK_2026-09-07.png
2026-09-07,0240.HK,SELL,D,45,1.4500000476837158,1.502432377522817,1.2447689858964737,1.0395379241092315,0.8343068623219894,Breakdown below channel lower,1.4500000476837158,0.025135717531120396,outputs/charts/0240.HK_2026-09-07.png
2026-09-07,1120.HK,SELL,D,45,0.6000000238418579,0.6297695321159391,0.44757454564006904,0.2951490674382802,0.1427235892364913,Breakdown below channel lower,0.6000000238418579,0.010569570761083833,outputs/charts/1120.HK_2026-09-07.png
2026-09-07,1571.HK,SELL,D,45,3.75,3.920377761211746,3.361147951647546,2.972295903295092,2.583443854942638,Breakdown below channel lower,3.75,0.07301588407428976,outputs/charts/1571.HK_2026-09-07.png
